name,crunchbase_uuid,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
aka-aki networks,319e33dd-6669-d2c0-5152-5a0735f899cb,organization,company,https://www.crunchbase.com/organization/akaaki?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,aka-aki.com,http://www.aka-aki.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397181231/47644c773def69a725813fc6dca6a0c9.jpg",,http://twitter.com/akaaki,,:,Berlin,Berlin,DEU,Aka Aki is a German-based mobile social networking site that allows users to discover and connect with other users.
Plazes,fa501dd0-4652-ca5a-a448-98ad477f622d,organization,company,https://www.crunchbase.com/organization/plazes?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,plazes.com,http://plazes.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397182216/f068fdd74ecade739b3d7ae14705af82.png",https://www.facebook.com/here,https://www.twitter.com/here,,:,Berlin,Berlin,DEU,Plazes is an online service enabling users to connect and communicate with others in various locations.
Songbeat GmbH,9cf2098a-3511-14d4-70a9-8a38da487d38,organization,company,https://www.crunchbase.com/organization/songbeat?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,songbeatplayer.com,http://www.songbeatplayer.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397183028/0af8bda2b767a1da9d6e604241263635.png",,,,:,Berlin,Berlin,DEU,Songbeat is a desktop application that allows users to search and listen to MP3s using Seeqpod technology.
Palabea GmbH,e645b0a1-e5ee-b8da-5520-ec4fc725799a,organization,company,https://www.crunchbase.com/organization/palabea?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,palabea.com,http://www.palabea.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397183235/6154ec1e75717f5e29b5047a24b470e3.png",http://www.facebook.com/palabea,http://twitter.com/palabea,,:,Berlin,Berlin,DEU,Palabea is a video chat platform allowing users from all over the world to learn languages and share knowledge on various topics.
GameDuell,a16f588a-b817-661a-994c-8d74cfda728e,organization,company,https://www.crunchbase.com/organization/gameduell?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gameduell.com,http://www.gameduell.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1465210037/rir3eu5tcwbmwz3px7om.png",http://www.facebook.com/GameDuell,http://twitter.com/GameDuell,http://www.linkedin.com/company/gameduell,:,Berlin,Berlin,DEU,"GameDuell is a cross-platform games community, developing games for its website as well as for social networks and mobile devices."
Qiro,3263ea65-6a40-fdfa-070b-9d5f5125201e,organization,company,https://www.crunchbase.com/organization/qiro?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,qiro.de,http://www.qiro.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184069/ba81dd4d2b4400ff5dd72ead4826aa2c.png",,,,:,Berlin,Berlin,DEU,QiroÂ operatesÂ a mobileÂ and online community.
acomo,21499978-083a-48c5-5c2b-cf09d1d0d7ac,organization,company,https://www.crunchbase.com/organization/acomo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,acomo.com,http://www.acomo.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184868/050f3ff07e9042454adc7d3d57cbe5cc.png",,,,:,Berlin,Berlin,DEU,acomo is a German social network service.
iliketotallyloveit,b2c653cf-3ed3-3152-b007-6f55d0a9c542,organization,company,https://www.crunchbase.com/organization/iliketotallyloveit?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,iliketotallyloveit.com,http://iliketotallyloveit.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397184983/8e9a636415b212a9da65809cde3cd81b.jpg",,http://twitter.com/TotallyLoveIt,,:,Berlin,Berlin,DEU,Iliketotallyloveit is an online shopping site that allows its users to rank and publish products.
Babbel,5036d23d-9ed5-8a88-41a3-7acab52333e5,organization,company,https://www.crunchbase.com/organization/babbel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,babbel.com,http://www.babbel.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1494256543/pfgjyh4ecvgxxg7dlydr.png",http://www.facebook.com/babbel.languages,http://twitter.com/babbel,https://www.linkedin.com/company/babbel-com,:,Berlin,Berlin,DEU,Babbel is the market-leading app for language learning.
Metaversum,faf3126d-0045-13e4-9f01-5ba897dc61f5,organization,company,https://www.crunchbase.com/organization/metaversum?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,metaversum.com,http://metaversum.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397185450/a50af78c9eece4b21f96227d246c184b.gif",,http://twitter.com/twinity,,:,Berlin,Berlin,DEU,Mobile Security Software develops security shields for portable predators of the mobile platforms.
Aeria Games GmbH,ea8d7cc1-aa98-cc4f-b889-762a130cc8e1,organization,company,https://www.crunchbase.com/organization/aeria?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,aeriagames.com,http://www.corporate.aeriagames.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1455116132/xfn2sdtl38ffc0eske2c.jpg",https://www.facebook.com/aeria,http://twitter.com/aeriagames,https://www.linkedin.com/company/aeria-games-&-entertainment,:,Berlin,Berlin,DEU,Aeria Games is a leading destination for free-to-play online multiplayer games.
Mento,29a9f194-2e42-6607-3d98-73a8a7cecb08,organization,company,https://www.crunchbase.com/organization/mento?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mento.info,http://www.mento.info,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397186982/6b88bb3d24fce60dd3725f160ff9cb43.png",,,,:,Berlin,Berlin,DEU,"Mento is a link sharing site that makes it easy to share links with friends. It features Facebook integration, and supports publication to"
stickapps,dbfd0040-e10e-2899-c0ad-f7cfd3f0b8d9,organization,company,https://www.crunchbase.com/organization/toksta?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,stickapps.com,http://stickapps.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397187415/630da45f1758fd22d768cd61e8e34045.jpg",,,,:,Berlin,Berlin,DEU,IM Solutions for Web Services
