name,crunchbase_uuid,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
Babbel,5036d23d-9ed5-8a88-41a3-7acab52333e5,organization,company,https://www.crunchbase.com/organization/babbel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,babbel.com,http://www.babbel.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1494256543/pfgjyh4ecvgxxg7dlydr.png",http://www.facebook.com/babbel.languages,http://twitter.com/babbel,https://www.linkedin.com/company/babbel-com,:,Berlin,Berlin,DEU,Babbel is the market-leading app for language learning.
Awin,e3fc23f3-269e-a237-a9ec-f0e99179424d,organization,company,https://www.crunchbase.com/organization/zanox?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,awin.com,http://www.awin.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1490191398/kiu4inoifytoyevtq8ix.jpg",https://www.facebook.com/Awin/,http://twitter.com/Awin_NL,https://www.linkedin.com/company-beta/17975089/,:,Berlin,Berlin,DEU,Awin is a global affiliate network and the new name for Affiliate Window and zanox.
plista,cd7373f1-f3e7-57dc-4806-241198491b2e,organization,company,https://www.crunchbase.com/organization/plista?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,plista.com,http://www.plista.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1444310451/nyeuvp8esixuawbn80pr.png",http://www.facebook.com/plista,http://twitter.com/plista,http://www.linkedin.com/company/plista-gmbh,:,Berlin,Berlin,DEU,Plista is a data-driven platform that provides solutions for targeted digital advertising and content distribution.
DaWanda,aeed9762-2f67-1937-e435-b972e117ee4a,organization,company,https://www.crunchbase.com/organization/dawanda?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dawanda.com,http://en.dawanda.com/?partnerid=GA2-DaWanda,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397189988/7ec176b7d463e2343139c6056e3afd31.png",http://www.facebook.com/dawanda.english,http://twitter.com/dawanda_en,http://www.linkedin.com/company/dawanda,:,Berlin,Berlin,DEU,"DaWanda is an online marketplace that trades handmade products from professional artisans, artists, designers, and individuals."
erento,91ea8065-4037-16bb-298b-5129fb6ddfc1,organization,company,https://www.crunchbase.com/organization/erento?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,erento.com,http://www.erento.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1470236531/atm2psoxygyp8auo7j6p.png",http://www.facebook.com/erento,http://twitter.com/erento,http://www.linkedin.com/company/erento-gmbh,:,Berlin,Berlin,DEU,erento is an online marketplace to rents goods and services.
MyVideo,5043238a-f6ec-ead8-5989-0f8d6ff5940d,organization,company,https://www.crunchbase.com/organization/myvideo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,myvideo.de,http://www.myvideo.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1420111543/ko0uefgg0ftyvilqtriw.png",http://de-de.facebook.com/MyVideo,http://twitter.com/myvideo_de,,:,Berlin,Berlin,DEU,"Music, Shows, Movies, Live Streams - free and legal!"
Kaeuferportal,7536d9ad-7f6d-5ff6-f6da-805f80180cea,organization,company,https://www.crunchbase.com/organization/kaeuferportal?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,kaeuferportal.de,http://www.kaeuferportal.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397200377/55d32e00875ad3c81bc235f4d21b7658.jpg",http://www.facebook.com/Kaeuferportal,http://twitter.com/kaeuferportal,,:,Berlin,Berlin,DEU,Kaeuferportal is a B2B Lead Generation platform targeting the German market for SMEs. Kaeuferportal facilitates business purchasing of
kaufDA,a36722f1-35b2-3000-07a3-76209cb4e3af,organization,company,https://www.crunchbase.com/organization/kaufda-de?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,kaufda.de,http://www.kaufDA.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397202729/5a5bb135bf1ac118a2631e1f125baa91.png",,http://twitter.com/kaufDAteam,,:,Berlin,Berlin,DEU,kaufDA is an online marketplace based in Germany that enables its users to search for local sales and retailers.
My-Hammer,22678e94-18a0-0aa6-7b7b-31519fbbeb44,organization,company,https://www.crunchbase.com/organization/my-hammer?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,my-hammer.de,http://www.my-hammer.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397208990/18d6c872c62109c227397b35036eb7b1.jpg",https://www.facebook.com/myhammerag,http://twitter.com/MyHammer_de,https://www.linkedin.com/company/myhammer-ag,:,Berlin,Berlin,DEU,"MyHammer is an online marketplace and directory enabling homeowners to find tradesmen, and builders to find quality job leads."
Schering AG,b65cb552-aded-9e0c-8c4a-c6b2b924f987,organization,company,https://www.crunchbase.com/organization/schering?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,schering.de,http://www.schering.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397181916/b07e22aec78a2cb7efb97cd5d0dda117.jpg",http://www.facebook.com/healthcare.bayer,https://www.twitter.com/bayer,,:,Wedding,Berlin,DEU,"Bayer is a global enterprise with core competencies in the fields of health care, nutrition and high-tech materials."
Springer,80c60405-0202-866d-c8e6-f7c7ac9627a0,organization,company,https://www.crunchbase.com/organization/springer?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,springer.com,http://www.springer.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1416320256/karbwulhhzrz2xrlkrsg.png",,http://twitter.com/SpringerSBM,http://www.linkedin.com/company/7051,:,Berlin,Berlin,DEU,Partner for Research and Practice
Idealo,5b6dcb96-1096-2282-9ce4-6ff798e3f7cc,organization,company,https://www.crunchbase.com/organization/idealo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,idealo.de,http://www.idealo.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397181975/2a1dfa8e7e7000113608af7856e380cc.gif",http://www.facebook.com/idealo,http://twitter.com/idealo,http://www.linkedin.com/company/idealo-internet-gmbh,:,Berlin,Berlin,DEU,Idealo is a price comparison website that allows users to compare prices on a range of products from many shops.
Webtrekk,599a9ab3-3c19-18e3-3ffb-e4cc89972343,organization,company,https://www.crunchbase.com/organization/webtrekk?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,webtrekk.com,http://www.webtrekk.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397182243/83a3cf3341cb2b810920a6cfeee085af.jpg",http://www.facebook.com/webtrekk,http://twitter.com/webtrekk,http://www.linkedin.com/company/webtrekk,:,Berlin,Berlin,DEU,Webtrekk is a German company specialized in the development and sale of software products for the real-time web analytics with raw data.
DesignHotels.com,5409c17c-b0d5-df5d-fe6d-1b66b61702a8,organization,company,https://www.crunchbase.com/organization/designhotels-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,designhotels.com,http://designhotels.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397186781/45978258ccad1bdabf67cfc66d4a1aff.gif",http://www.facebook.com/DesignHotelsAG,http://twitter.com/design_hotels,http://www.linkedin.com/company/design-hotels-ag,:,Berlin,Berlin,DEU,"Founded by Claus Sendlinger in 1993, Design HotelsÃ¢â€žÂ¢ offers its members insightful travel industry knowledge - from feasibility studies"
Areamobile.de,80358ba0-82ef-bb75-b737-b6c9973b61d8,organization,company,https://www.crunchbase.com/organization/areamobile-de?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,areamobile.de,http://www.areamobile.de/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1419602700/g81pzcjsvdyfrbgwthzh.png",http://www.facebook.com/areamobile,http://twitter.com/areamobile,,:,Berlin,Berlin,DEU,Areamobile.de is a German online publication that covers the mobile handset industry and the German telecommunications market.
Wooga,261c7e32-7a0a-bc2e-a91c-a7a345aa2066,organization,company,https://www.crunchbase.com/organization/wooga?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,wooga.com,http://www.wooga.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397194698/f0211844511b6f8ae343e2be323b5bf0.png",http://www.facebook.com/wooga,http://twitter.com/Wooga,http://www.linkedin.com/company/wooga,:,Berlin,Berlin,DEU,"Wooga is a developer of mobile, tablet, and Facebook games."
Motor-Talk,156955bc-b5e2-99bd-de2b-5a891c40e2de,organization,company,https://www.crunchbase.com/organization/motor-talk?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,motor-talk.de,http://www.motor-talk.de/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1420103153/hezcflxl8xcin3i4xlzb.png",http://www.facebook.com/motortalk,http://twitter.com/motortalk,http://www.linkedin.com/company/1008964,:,Berlin,Berlin,DEU,Largest German car and motorcycle community on the web.
Truffls GmbH,ddf2cc14-856a-2f7a-b369-6f9e655a0898,organization,company,https://www.crunchbase.com/organization/truffls?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,truffls.de,https://truffls.de/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1420237082/rapp0eyy3jearcx6gwma.png",http://www.facebook.com/Truffls,http://twitter.com/realtruffls,http://de.linkedin.com/company/truffls-gmbh,:,Berlin,Berlin,DEU,We change everything for the better. For job seekers and companies looking for candidates. That was our motive for founding truffls.
StepStone GmbH,55cd557b-d4e9-59bd-aa12-b1d0f215a8b3,organization,company,https://www.crunchbase.com/organization/stepstone?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,stepstone.com,http://www.stepstone.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1489549993/o1ygwwymhgpd87sttiif.png",https://www.facebook.com/stepstonebe,https://twitter.com/stepstone_de,http://www.linkedin.com/company/166156,:,Berlin,Berlin,DEU,"Founded in 1996, StepStone is one of the most successful online job board businesses today."
Codingpeople,3a52e2b1-1760-8dc8-cc4e-014c3abe9177,organization,company,https://www.crunchbase.com/organization/codingpeople?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,codingpeople.com,http://www.codingpeople.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1476722341/rsey4qtm25m8dbcqgsxl.png",,http://twitter.com/Codingpeople,,:,Berlin,Berlin,DEU,Codingpeople provides businesses with website design and development.
Mister Spex,c4bd0c0b-7ae5-66a5-0bd6-a5aa43c49baa,organization,company,https://www.crunchbase.com/organization/mister-spex?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,misterspex.de,http://misterspex.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397207921/ae9c1d3ac24bffdacc57613cdaee5799.jpg",http://www.facebook.com/misterspex,http://twitter.com/misterspex,https://www.linkedin.com/company/mister-spex,:,Berlin,Berlin,DEU,Mister Spex is an online store that sells various brands of glasses in Germany.
daparto - Der Autoteile-Marktplatz,55e135af-4456-7a3a-faa5-d46efa7cc212,organization,company,https://www.crunchbase.com/organization/daparto-der-autoteile-marktplatz?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,daparto.de,http://www.daparto.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397181193/5ee4e289759e6e17957bdea616567166.jpg",http://www.facebook.com/daparto,http://twitter.com/daparto,,:,Berlin,Berlin,DEU,daparto - Der Autoteile-Marktplatz is the place where we can find auto parts price comparison and order directly easy new car parts.
Zalando SE,0a9eae4d-a269-646c-0cad-cf5b559b74b6,organization,company,https://www.crunchbase.com/organization/zalando?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,zalando.com,http://www.zalando.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1454599832/fxzrpmwfaltnzphppggi.jpg",http://www.facebook.com/zalando,http://twitter.com/zalandotech,http://www.linkedin.com/company/2795902,etr:ZAL,Berlin,Berlin,DEU,"Zalando is a fashion and technology company, currently transforming into a multi-service platform."
Delivery Hero,31fc3998-a1f1-2e5b-6358-f8d068fa9f71,organization,company,https://www.crunchbase.com/organization/delivery-hero?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,deliveryhero.com,http://www.deliveryhero.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1481548614/ipqynldj13miyldczffr.png",http://www.facebook.com/deliveryhero,http://twitter.com/deliveryherocom,http://www.linkedin.com/company/delivery-hero-holding,fra:DHER,Berlin,Berlin,DEU,Delivery Hero is a network of online food ordering sites with over 100 restaurant partners worldwide.
HelloFresh,e0ad4447-c0a9-268d-8870-b1bc8f82d47c,organization,company,https://www.crunchbase.com/organization/hellofresh?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,hellofreshgroup.com,http://www.hellofreshgroup.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1491919763/espbfat59izcpjbsb1o9.png",http://www.facebook.com/HelloFreshus,http://twitter.com/HelloFresh,http://www.linkedin.com/company/hellofresh,:,Berlin,Berlin,DEU,HelloFresh is a food subscription company that sends pre-portioned ingredients to usersâ€™ doorstep each week.
Home24 AG,37b90bdb-e4b9-1889-5629-bc50ad2c077e,organization,company,https://www.crunchbase.com/organization/home24?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,home24.de,http://www.home24.de,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1496333284/kvknsimqwtlr9ppoow8a.jpg",http://www.facebook.com/home24.de,http://twitter.com/home24_de,http://www.linkedin.com/company/2653180,:,Berlin,Berlin,DEU,Home24 is an online platform that enables consumers to find and purchase home furniture and decor.
Rocket Internet,04f52814-77e2-b2c9-2d9a-4299dbb62455,organization,company,https://www.crunchbase.com/organization/rocket-internet?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dissertationcorp.co.uk,https://www.dissertationcorp.co.uk/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1481548926/bimnmnehtz98jytqwwkv.png",https://www.facebook.com/pages/Rocket-Internet-Bangladesh/162471493944566,http://twitter.com/RocketBerlin,https://www.linkedin.com/company/1298456,etr:RKET,Berlin,Berlin,DEU,Rocket Internet is an internet platform that identifies and builds proven internet business models.
AUTO1 Group,df5860b0-5f65-c6fb-49d1-9e3132e1d5df,organization,company,https://www.crunchbase.com/organization/auto1-group?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,auto1-group.com,http://www.auto1-group.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1436276038/ibp94kdkzrctawuqnlrp.png",,,https://www.linkedin.com/company/auto1-group,:,Berlin,Berlin,DEU,AUTO1 Group connects buyers and sellers of cars via an online platform.
